row_idx,model,technique,video,crime_type
59.0,Claude,Zero-Shot,Assault049_x264,Assault
60.0,Claude,Zero-Shot,Assault052_x264,Assault
61.0,Claude,Zero-Shot,Burglary001_x264,Burglary
62.0,Claude,Zero-Shot,Burglary002_x264,Burglary
63.0,Claude,Zero-Shot,Burglary003_x264,Burglary
64.0,Claude,Zero-Shot,Burglary004_x264,Burglary
65.0,Claude,Zero-Shot,Burglary005_x264,Burglary
66.0,Claude,Zero-Shot,Burglary006_x264,Burglary
67.0,Claude,Zero-Shot,Burglary007_x264,Burglary
68.0,Claude,Zero-Shot,Burglary008_x264,Burglary
69.0,Claude,Zero-Shot,Burglary009_x264,Burglary
70.0,Claude,Zero-Shot,Burglary010_x264,Burglary
71.0,Claude,Zero-Shot,Burglary011_x264,Burglary
72.0,Claude,Zero-Shot,Burglary012_x264,Burglary
73.0,Claude,Zero-Shot,Burglary013_x264,Burglary
74.0,Claude,Zero-Shot,Burglary014_x264,Burglary
75.0,Claude,Zero-Shot,Burglary015_x264,Burglary
76.0,Claude,Zero-Shot,Burglary016_x264,Burglary
77.0,Claude,Zero-Shot,Burglary017_x264,Burglary
78.0,Claude,Zero-Shot,Burglary018_x264,Burglary
79.0,Claude,Zero-Shot,Burglary019_x264,Burglary
80.0,Claude,Zero-Shot,Burglary020_x264,Burglary
81.0,Claude,Zero-Shot,Burglary021_x264,Burglary
82.0,Claude,Zero-Shot,Burglary022_x264,Burglary
83.0,Claude,Zero-Shot,Burglary023_x264,Burglary
84.0,Claude,Zero-Shot,Burglary024_x264,Burglary
85.0,Claude,Zero-Shot,Burglary025_x264,Burglary
86.0,Claude,Zero-Shot,Burglary026_x264,Burglary
87.0,Claude,Zero-Shot,Burglary027_x264,Burglary
88.0,Claude,Zero-Shot,Burglary028_x264,Burglary
89.0,Claude,Zero-Shot,Burglary029_x264,Burglary
90.0,Claude,Zero-Shot,Burglary030_x264,Burglary
91.0,Claude,Zero-Shot,Burglary031_x264,Burglary
92.0,Claude,Zero-Shot,Burglary032_x264,Burglary
93.0,Claude,Zero-Shot,Burglary033_x264,Burglary
94.0,Claude,Zero-Shot,Burglary034_x264,Burglary
95.0,Claude,Zero-Shot,Burglary035_x264,Burglary
96.0,Claude,Zero-Shot,Burglary036_x264,Burglary
97.0,Claude,Zero-Shot,Burglary037_x264,Burglary
98.0,Claude,Zero-Shot,Burglary038_x264,Burglary
99.0,Claude,Zero-Shot,Burglary039_x264,Burglary
100.0,Claude,Zero-Shot,Burglary040_x264,Burglary
101.0,Claude,Zero-Shot,Burglary041_x264,Burglary
102.0,Claude,Zero-Shot,Burglary042_x264,Burglary
103.0,Claude,Zero-Shot,Burglary043_x264,Burglary
104.0,Claude,Zero-Shot,Burglary044_x264,Burglary
105.0,Claude,Zero-Shot,Burglary045_x264,Burglary
106.0,Claude,Zero-Shot,Burglary046_x264,Burglary
107.0,Claude,Zero-Shot,Burglary047_x264,Burglary
108.0,Claude,Zero-Shot,Burglary048_x264,Burglary
109.0,Claude,Zero-Shot,Burglary049_x264,Burglary
110.0,Claude,Zero-Shot,Burglary050_x264,Burglary
111.0,Claude,Zero-Shot,Burglary051_x264,Burglary
112.0,Claude,Zero-Shot,Burglary052_x264,Burglary
113.0,Claude,Zero-Shot,Burglary053_x264,Burglary
114.0,Claude,Zero-Shot,Burglary054_x264,Burglary
115.0,Claude,Zero-Shot,Burglary055_x264,Burglary
116.0,Claude,Zero-Shot,Burglary056_x264,Burglary
117.0,Claude,Zero-Shot,Burglary057_x264,Burglary
118.0,Claude,Zero-Shot,Burglary058_x264,Burglary
119.0,Claude,Zero-Shot,Burglary059_x264,Burglary
120.0,Claude,Zero-Shot,Burglary060_x264,Burglary
121.0,Claude,Zero-Shot,Burglary061_x264,Burglary
122.0,Claude,Zero-Shot,Burglary062_x264,Burglary
123.0,Claude,Zero-Shot,Burglary063_x264,Burglary
124.0,Claude,Zero-Shot,Burglary064_x264,Burglary
125.0,Claude,Zero-Shot,Burglary065_x264,Burglary
126.0,Claude,Zero-Shot,Burglary066_x264,Burglary
127.0,Claude,Zero-Shot,Burglary067_x264,Burglary
128.0,Claude,Zero-Shot,Burglary068_x264,Burglary
129.0,Claude,Zero-Shot,Burglary069_x264,Burglary
130.0,Claude,Zero-Shot,Burglary070_x264,Burglary
131.0,Claude,Zero-Shot,Burglary071_x264,Burglary
132.0,Claude,Zero-Shot,Burglary072_x264,Burglary
133.0,Claude,Zero-Shot,Burglary073_x264,Burglary
134.0,Claude,Zero-Shot,Burglary074_x264,Burglary
135.0,Claude,Zero-Shot,Burglary075_x264,Burglary
136.0,Claude,Zero-Shot,Burglary076_x264,Burglary
137.0,Claude,Zero-Shot,Burglary077_x264,Burglary
138.0,Claude,Zero-Shot,Burglary078_x264,Burglary
139.0,Claude,Zero-Shot,Burglary079_x264,Burglary
140.0,Claude,Zero-Shot,Burglary080_x264,Burglary
141.0,Claude,Zero-Shot,Burglary081_x264,Burglary
142.0,Claude,Zero-Shot,Burglary082_x264,Burglary
143.0,Claude,Zero-Shot,Burglary083_x264,Burglary
144.0,Claude,Zero-Shot,Burglary084_x264,Burglary
145.0,Claude,Zero-Shot,Burglary085_x264,Burglary
146.0,Claude,Zero-Shot,Burglary086_x264,Burglary
147.0,Claude,Zero-Shot,Burglary087_x264,Burglary
148.0,Claude,Zero-Shot,Burglary088_x264,Burglary
149.0,Claude,Zero-Shot,Burglary089_x264,Burglary
150.0,Claude,Zero-Shot,Burglary090_x264,Burglary
151.0,Claude,Zero-Shot,Burglary091_x264,Burglary
152.0,Claude,Zero-Shot,Burglary092_x264,Burglary
153.0,Claude,Zero-Shot,Burglary093_x264,Burglary
154.0,Claude,Zero-Shot,Burglary094_x264,Burglary
155.0,Claude,Zero-Shot,Burglary095_x264,Burglary
156.0,Claude,Zero-Shot,Burglary096_x264,Burglary
157.0,Claude,Zero-Shot,Burglary097_x264,Burglary
158.0,Claude,Zero-Shot,Burglary098_x264,Burglary
159.0,Claude,Zero-Shot,Burglary099_x264,Burglary
160.0,Claude,Zero-Shot,Burglary100_x264,Burglary
161.0,Claude,Zero-Shot,Explosion001_x264,Explosion
162.0,Claude,Zero-Shot,Explosion002_x264,Explosion
163.0,Claude,Zero-Shot,Explosion003_x264,Explosion
164.0,Claude,Zero-Shot,Explosion004_x264,Explosion
165.0,Claude,Zero-Shot,Explosion005_x264,Explosion
166.0,Claude,Zero-Shot,Explosion006_x264,Explosion
167.0,Claude,Zero-Shot,Explosion007_x264,Explosion
168.0,Claude,Zero-Shot,Explosion008_x264,Explosion
169.0,Claude,Zero-Shot,Explosion009_x264,Explosion
170.0,Claude,Zero-Shot,Explosion010_x264,Explosion
171.0,Claude,Zero-Shot,Explosion011_x264,Explosion
172.0,Claude,Zero-Shot,Explosion012_x264,Explosion
173.0,Claude,Zero-Shot,Explosion013_x264,Explosion
174.0,Claude,Zero-Shot,Explosion014_x264,Explosion
175.0,Claude,Zero-Shot,Explosion015_x264,Explosion
176.0,Claude,Zero-Shot,Explosion016_x264,Explosion
177.0,Claude,Zero-Shot,Explosion017_x264,Explosion
178.0,Claude,Zero-Shot,Explosion018_x264,Explosion
179.0,Claude,Zero-Shot,Explosion019_x264,Explosion
180.0,Claude,Zero-Shot,Explosion020_x264,Explosion
181.0,Claude,Zero-Shot,Explosion021_x264,Explosion
182.0,Claude,Zero-Shot,Explosion022_x264,Explosion
183.0,Claude,Zero-Shot,Explosion023_x264,Explosion
184.0,Claude,Zero-Shot,Explosion024_x264,Explosion
185.0,Claude,Zero-Shot,Explosion025_x264,Explosion
186.0,Claude,Zero-Shot,Explosion026_x264,Explosion
187.0,Claude,Zero-Shot,Explosion027_x264,Explosion
188.0,Claude,Zero-Shot,Explosion028_x264,Explosion
189.0,Claude,Zero-Shot,Explosion029_x264,Explosion
190.0,Claude,Zero-Shot,Explosion030_x264,Explosion
191.0,Claude,Zero-Shot,Explosion032_x264,Explosion
192.0,Claude,Zero-Shot,Explosion033_x264,Explosion
193.0,Claude,Zero-Shot,Explosion034_x264,Explosion
194.0,Claude,Zero-Shot,Explosion035_x264,Explosion
195.0,Claude,Zero-Shot,Explosion036_x264,Explosion
196.0,Claude,Zero-Shot,Explosion037_x264,Explosion
197.0,Claude,Zero-Shot,Explosion038_x264,Explosion
198.0,Claude,Zero-Shot,Explosion039_x264,Explosion
199.0,Claude,Zero-Shot,Explosion040_x264,Explosion
200.0,Claude,Zero-Shot,Explosion041_x264,Explosion
201.0,Claude,Zero-Shot,Explosion042_x264,Explosion
202.0,Claude,Zero-Shot,Explosion043_x264,Explosion
203.0,Claude,Zero-Shot,Explosion044_x264,Explosion
204.0,Claude,Zero-Shot,Explosion045_x264,Explosion
205.0,Claude,Zero-Shot,Explosion046_x264,Explosion
206.0,Claude,Zero-Shot,Explosion047_x264,Explosion
207.0,Claude,Zero-Shot,Explosion048_x264,Explosion
208.0,Claude,Zero-Shot,Explosion050_x264,Explosion
209.0,Claude,Zero-Shot,Explosion051_x264,Explosion
210.0,Claude,Zero-Shot,Explosion052_x264,Explosion
211.0,Claude,Zero-Shot,Fighting002_x264,Fighting
212.0,Claude,Zero-Shot,Fighting003_x264,Fighting
213.0,Claude,Zero-Shot,Fighting004_x264,Fighting
214.0,Claude,Zero-Shot,Fighting005_x264,Fighting
215.0,Claude,Zero-Shot,Fighting006_x264,Fighting
216.0,Claude,Zero-Shot,Fighting007_x264,Fighting
217.0,Claude,Zero-Shot,Fighting008_x264,Fighting
218.0,Claude,Zero-Shot,Fighting009_x264,Fighting
219.0,Claude,Zero-Shot,Fighting010_x264,Fighting
220.0,Claude,Zero-Shot,Fighting011_x264,Fighting
221.0,Claude,Zero-Shot,Fighting012_x264,Fighting
222.0,Claude,Zero-Shot,Fighting013_x264,Fighting
223.0,Claude,Zero-Shot,Fighting014_x264,Fighting
224.0,Claude,Zero-Shot,Fighting015_x264,Fighting
225.0,Claude,Zero-Shot,Fighting016_x264,Fighting
226.0,Claude,Zero-Shot,Fighting017_x264,Fighting
227.0,Claude,Zero-Shot,Fighting018_x264,Fighting
228.0,Claude,Zero-Shot,Fighting019_x264,Fighting
229.0,Claude,Zero-Shot,Fighting020_x264,Fighting
230.0,Claude,Zero-Shot,Fighting021_x264,Fighting
231.0,Claude,Zero-Shot,Fighting022_x264,Fighting
232.0,Claude,Zero-Shot,Fighting023_x264,Fighting
233.0,Claude,Zero-Shot,Fighting024_x264,Fighting
234.0,Claude,Zero-Shot,Fighting025_x264,Fighting
235.0,Claude,Zero-Shot,Fighting026_x264,Fighting
236.0,Claude,Zero-Shot,Fighting027_x264,Fighting
237.0,Claude,Zero-Shot,Fighting028_x264,Fighting
238.0,Claude,Zero-Shot,Fighting029_x264,Fighting
239.0,Claude,Zero-Shot,Fighting030_x264,Fighting
240.0,Claude,Zero-Shot,Fighting031_x264,Fighting
241.0,Claude,Zero-Shot,Fighting032_x264,Fighting
242.0,Claude,Zero-Shot,Fighting033_x264,Fighting
243.0,Claude,Zero-Shot,Fighting034_x264,Fighting
244.0,Claude,Zero-Shot,Fighting035_x264,Fighting
245.0,Claude,Zero-Shot,Fighting036_x264,Fighting
246.0,Claude,Zero-Shot,Fighting037_x264,Fighting
247.0,Claude,Zero-Shot,Fighting038_x264,Fighting
248.0,Claude,Zero-Shot,Fighting039_x264,Fighting
249.0,Claude,Zero-Shot,Fighting040_x264,Fighting
250.0,Claude,Zero-Shot,Fighting041_x264,Fighting
251.0,Claude,Zero-Shot,Fighting042_x264,Fighting
252.0,Claude,Zero-Shot,Fighting043_x264,Fighting
253.0,Claude,Zero-Shot,Fighting044_x264,Fighting
254.0,Claude,Zero-Shot,Fighting045_x264,Fighting
255.0,Claude,Zero-Shot,Fighting046_x264,Fighting
256.0,Claude,Zero-Shot,Fighting047_x264,Fighting
257.0,Claude,Zero-Shot,Fighting048_x264,Fighting
258.0,Claude,Zero-Shot,Fighting049_x264,Fighting
259.0,Claude,Zero-Shot,Fighting050_x264,Fighting
260.0,Claude,Zero-Shot,Fighting051_x264,Fighting
261.0,Claude,Zero-Shot,RoadAccidents001_x264,RoadAccidents
262.0,Claude,Zero-Shot,RoadAccidents002_x264,RoadAccidents
263.0,Claude,Zero-Shot,RoadAccidents003_x264,RoadAccidents
264.0,Claude,Zero-Shot,RoadAccidents004_x264,RoadAccidents
265.0,Claude,Zero-Shot,RoadAccidents005_x264,RoadAccidents
266.0,Claude,Zero-Shot,RoadAccidents006_x264,RoadAccidents
267.0,Claude,Zero-Shot,RoadAccidents007_x264,RoadAccidents
268.0,Claude,Zero-Shot,RoadAccidents008_x264,RoadAccidents
269.0,Claude,Zero-Shot,RoadAccidents009_x264,RoadAccidents
270.0,Claude,Zero-Shot,RoadAccidents010_x264,RoadAccidents
271.0,Claude,Zero-Shot,RoadAccidents011_x264,RoadAccidents
272.0,Claude,Zero-Shot,RoadAccidents012_x264,RoadAccidents
273.0,Claude,Zero-Shot,RoadAccidents013_x264,RoadAccidents
274.0,Claude,Zero-Shot,RoadAccidents014_x264,RoadAccidents
275.0,Claude,Zero-Shot,RoadAccidents015_x264,RoadAccidents
276.0,Claude,Zero-Shot,RoadAccidents016_x264,RoadAccidents
277.0,Claude,Zero-Shot,RoadAccidents017_x264,RoadAccidents
278.0,Claude,Zero-Shot,RoadAccidents018_x264,RoadAccidents
279.0,Claude,Zero-Shot,RoadAccidents019_x264,RoadAccidents
280.0,Claude,Zero-Shot,RoadAccidents020_x264,RoadAccidents
281.0,Claude,Zero-Shot,RoadAccidents021_x264,RoadAccidents
282.0,Claude,Zero-Shot,RoadAccidents022_x264,RoadAccidents
283.0,Claude,Zero-Shot,RoadAccidents023_x264,RoadAccidents
284.0,Claude,Zero-Shot,RoadAccidents024_x264,RoadAccidents
285.0,Claude,Zero-Shot,RoadAccidents025_x264,RoadAccidents
286.0,Claude,Zero-Shot,RoadAccidents026_x264,RoadAccidents
287.0,Claude,Zero-Shot,RoadAccidents027_x264,RoadAccidents
288.0,Claude,Zero-Shot,RoadAccidents028_x264,RoadAccidents
289.0,Claude,Zero-Shot,RoadAccidents029_x264,RoadAccidents
290.0,Claude,Zero-Shot,RoadAccidents030_x264,RoadAccidents
291.0,Claude,Zero-Shot,RoadAccidents031_x264,RoadAccidents
292.0,Claude,Zero-Shot,RoadAccidents032_x264,RoadAccidents
293.0,Claude,Zero-Shot,RoadAccidents033_x264,RoadAccidents
294.0,Claude,Zero-Shot,RoadAccidents034_x264,RoadAccidents
295.0,Claude,Zero-Shot,RoadAccidents035_x264,RoadAccidents
296.0,Claude,Zero-Shot,RoadAccidents036_x264,RoadAccidents
297.0,Claude,Zero-Shot,RoadAccidents037_x264,RoadAccidents
298.0,Claude,Zero-Shot,RoadAccidents038_x264,RoadAccidents
299.0,Claude,Zero-Shot,RoadAccidents039_x264,RoadAccidents
300.0,Claude,Zero-Shot,RoadAccidents040_x264,RoadAccidents
301.0,Claude,Zero-Shot,RoadAccidents041_x264,RoadAccidents
302.0,Claude,Zero-Shot,RoadAccidents042_x264,RoadAccidents
303.0,Claude,Zero-Shot,RoadAccidents043_x264,RoadAccidents
304.0,Claude,Zero-Shot,RoadAccidents044_x264,RoadAccidents
305.0,Claude,Zero-Shot,RoadAccidents046_x264,RoadAccidents
306.0,Claude,Zero-Shot,RoadAccidents047_x264,RoadAccidents
307.0,Claude,Zero-Shot,RoadAccidents048_x264,RoadAccidents
308.0,Claude,Zero-Shot,RoadAccidents049_x264,RoadAccidents
309.0,Claude,Zero-Shot,RoadAccidents050_x264,RoadAccidents
310.0,Claude,Zero-Shot,RoadAccidents051_x264,RoadAccidents
311.0,Claude,Zero-Shot,RoadAccidents052_x264,RoadAccidents
312.0,Claude,Zero-Shot,RoadAccidents053_x264,RoadAccidents
313.0,Claude,Zero-Shot,RoadAccidents054_x264,RoadAccidents
314.0,Claude,Zero-Shot,RoadAccidents055_x264,RoadAccidents
315.0,Claude,Zero-Shot,RoadAccidents056_x264,RoadAccidents
316.0,Claude,Zero-Shot,RoadAccidents057_x264,RoadAccidents
317.0,Claude,Zero-Shot,RoadAccidents058_x264,RoadAccidents
318.0,Claude,Zero-Shot,RoadAccidents059_x264,RoadAccidents
319.0,Claude,Zero-Shot,RoadAccidents060_x264,RoadAccidents
320.0,Claude,Zero-Shot,RoadAccidents061_x264,RoadAccidents
321.0,Claude,Zero-Shot,RoadAccidents062_x264,RoadAccidents
322.0,Claude,Zero-Shot,RoadAccidents064_x264,RoadAccidents
323.0,Claude,Zero-Shot,RoadAccidents065_x264,RoadAccidents
324.0,Claude,Zero-Shot,RoadAccidents066_x264,RoadAccidents
325.0,Claude,Zero-Shot,RoadAccidents067_x264,RoadAccidents
326.0,Claude,Zero-Shot,RoadAccidents068_x264,RoadAccidents
327.0,Claude,Zero-Shot,RoadAccidents069_x264,RoadAccidents
328.0,Claude,Zero-Shot,RoadAccidents070_x264,RoadAccidents
329.0,Claude,Zero-Shot,RoadAccidents071_x264,RoadAccidents
330.0,Claude,Zero-Shot,RoadAccidents072_x264,RoadAccidents
331.0,Claude,Zero-Shot,RoadAccidents073_x264,RoadAccidents
332.0,Claude,Zero-Shot,RoadAccidents074_x264,RoadAccidents
333.0,Claude,Zero-Shot,RoadAccidents075_x264,RoadAccidents
334.0,Claude,Zero-Shot,RoadAccidents076_x264,RoadAccidents
335.0,Claude,Zero-Shot,RoadAccidents077_x264,RoadAccidents
336.0,Claude,Zero-Shot,RoadAccidents078_x264,RoadAccidents
337.0,Claude,Zero-Shot,RoadAccidents079_x264,RoadAccidents
338.0,Claude,Zero-Shot,RoadAccidents080_x264,RoadAccidents
339.0,Claude,Zero-Shot,RoadAccidents081_x264,RoadAccidents
340.0,Claude,Zero-Shot,RoadAccidents082_x264,RoadAccidents
341.0,Claude,Zero-Shot,RoadAccidents083_x264,RoadAccidents
342.0,Claude,Zero-Shot,RoadAccidents084_x264,RoadAccidents
343.0,Claude,Zero-Shot,RoadAccidents085_x264,RoadAccidents
344.0,Claude,Zero-Shot,RoadAccidents086_x264,RoadAccidents
345.0,Claude,Zero-Shot,RoadAccidents087_x264,RoadAccidents
346.0,Claude,Zero-Shot,RoadAccidents088_x264,RoadAccidents
347.0,Claude,Zero-Shot,RoadAccidents089_x264,RoadAccidents
348.0,Claude,Zero-Shot,RoadAccidents090_x264,RoadAccidents
349.0,Claude,Zero-Shot,RoadAccidents091_x264,RoadAccidents
350.0,Claude,Zero-Shot,RoadAccidents092_x264,RoadAccidents
351.0,Claude,Zero-Shot,RoadAccidents093_x264,RoadAccidents
352.0,Claude,Zero-Shot,RoadAccidents094_x264,RoadAccidents
353.0,Claude,Zero-Shot,RoadAccidents095_x264,RoadAccidents
354.0,Claude,Zero-Shot,RoadAccidents096_x264,RoadAccidents
355.0,Claude,Zero-Shot,RoadAccidents097_x264,RoadAccidents
356.0,Claude,Zero-Shot,RoadAccidents098_x264,RoadAccidents
357.0,Claude,Zero-Shot,RoadAccidents099_x264,RoadAccidents
358.0,Claude,Zero-Shot,RoadAccidents100_x264,RoadAccidents
359.0,Claude,Zero-Shot,RoadAccidents101_x264,RoadAccidents
360.0,Claude,Zero-Shot,RoadAccidents102_x264,RoadAccidents
361.0,Claude,Zero-Shot,RoadAccidents103_x264,RoadAccidents
362.0,Claude,Zero-Shot,RoadAccidents104_x264,RoadAccidents
363.0,Claude,Zero-Shot,RoadAccidents105_x264,RoadAccidents
364.0,Claude,Zero-Shot,RoadAccidents106_x264,RoadAccidents
365.0,Claude,Zero-Shot,RoadAccidents107_x264,RoadAccidents
366.0,Claude,Zero-Shot,RoadAccidents108_x264,RoadAccidents
367.0,Claude,Zero-Shot,RoadAccidents109_x264,RoadAccidents
368.0,Claude,Zero-Shot,RoadAccidents110_x264,RoadAccidents
369.0,Claude,Zero-Shot,RoadAccidents111_x264,RoadAccidents
370.0,Claude,Zero-Shot,RoadAccidents112_x264,RoadAccidents
371.0,Claude,Zero-Shot,RoadAccidents113_x264,RoadAccidents
372.0,Claude,Zero-Shot,RoadAccidents114_x264,RoadAccidents
373.0,Claude,Zero-Shot,RoadAccidents115_x264,RoadAccidents
374.0,Claude,Zero-Shot,RoadAccidents116_x264,RoadAccidents
375.0,Claude,Zero-Shot,RoadAccidents117_x264,RoadAccidents
376.0,Claude,Zero-Shot,RoadAccidents118_x264,RoadAccidents
377.0,Claude,Zero-Shot,RoadAccidents119_x264,RoadAccidents
378.0,Claude,Zero-Shot,RoadAccidents120_x264,RoadAccidents
379.0,Claude,Zero-Shot,RoadAccidents121_x264,RoadAccidents
380.0,Claude,Zero-Shot,RoadAccidents122_x264,RoadAccidents
381.0,Claude,Zero-Shot,RoadAccidents123_x264,RoadAccidents
382.0,Claude,Zero-Shot,RoadAccidents124_x264,RoadAccidents
383.0,Claude,Zero-Shot,RoadAccidents125_x264,RoadAccidents
384.0,Claude,Zero-Shot,RoadAccidents126_x264,RoadAccidents
385.0,Claude,Zero-Shot,RoadAccidents127_x264,RoadAccidents
386.0,Claude,Zero-Shot,RoadAccidents128_x264,RoadAccidents
387.0,Claude,Zero-Shot,RoadAccidents129_x264,RoadAccidents
388.0,Claude,Zero-Shot,RoadAccidents130_x264,RoadAccidents
389.0,Claude,Zero-Shot,RoadAccidents131_x264,RoadAccidents
390.0,Claude,Zero-Shot,RoadAccidents132_x264,RoadAccidents
391.0,Claude,Zero-Shot,RoadAccidents133_x264,RoadAccidents
392.0,Claude,Zero-Shot,RoadAccidents134_x264,RoadAccidents
393.0,Claude,Zero-Shot,RoadAccidents135_x264,RoadAccidents
394.0,Claude,Zero-Shot,RoadAccidents136_x264,RoadAccidents
395.0,Claude,Zero-Shot,RoadAccidents137_x264,RoadAccidents
396.0,Claude,Zero-Shot,RoadAccidents138_x264,RoadAccidents
397.0,Claude,Zero-Shot,RoadAccidents139_x264,RoadAccidents
398.0,Claude,Zero-Shot,RoadAccidents140_x264,RoadAccidents
399.0,Claude,Zero-Shot,RoadAccidents141_x264,RoadAccidents
400.0,Claude,Zero-Shot,RoadAccidents142_x264,RoadAccidents
401.0,Claude,Zero-Shot,RoadAccidents143_x264,RoadAccidents
402.0,Claude,Zero-Shot,RoadAccidents145_x264,RoadAccidents
403.0,Claude,Zero-Shot,RoadAccidents146_x264,RoadAccidents
404.0,Claude,Zero-Shot,RoadAccidents147_x264,RoadAccidents
405.0,Claude,Zero-Shot,RoadAccidents148_x264,RoadAccidents
406.0,Claude,Zero-Shot,RoadAccidents149_x264,RoadAccidents
407.0,Claude,Zero-Shot,RoadAccidents150_x264,RoadAccidents
408.0,Claude,Zero-Shot,RoadAccidents151_x264,RoadAccidents
409.0,Claude,Zero-Shot,Robbery001_x264,Robbery
410.0,Claude,Zero-Shot,Robbery002_x264,Robbery
411.0,Claude,Zero-Shot,Robbery003_x264,Robbery
412.0,Claude,Zero-Shot,Robbery004_x264,Robbery
413.0,Claude,Zero-Shot,Robbery005_x264,Robbery
414.0,Claude,Zero-Shot,Robbery006_x264,Robbery
415.0,Claude,Zero-Shot,Robbery007_x264,Robbery
416.0,Claude,Zero-Shot,Robbery008_x264,Robbery
417.0,Claude,Zero-Shot,Robbery009_x264,Robbery
418.0,Claude,Zero-Shot,Robbery010_x264,Robbery
419.0,Claude,Zero-Shot,Robbery011_x264,Robbery
420.0,Claude,Zero-Shot,Robbery012_x264,Robbery
421.0,Claude,Zero-Shot,Robbery013_x264,Robbery
422.0,Claude,Zero-Shot,Robbery014_x264,Robbery
423.0,Claude,Zero-Shot,Robbery015_x264,Robbery
424.0,Claude,Zero-Shot,Robbery016_x264,Robbery
425.0,Claude,Zero-Shot,Robbery017_x264,Robbery
426.0,Claude,Zero-Shot,Robbery018_x264,Robbery
427.0,Claude,Zero-Shot,Robbery019_x264,Robbery
428.0,Claude,Zero-Shot,Robbery020_x264,Robbery
429.0,Claude,Zero-Shot,Robbery021_x264,Robbery
430.0,Claude,Zero-Shot,Robbery022_x264,Robbery
431.0,Claude,Zero-Shot,Robbery023_x264,Robbery
432.0,Claude,Zero-Shot,Robbery024_x264,Robbery
433.0,Claude,Zero-Shot,Robbery025_x264,Robbery
434.0,Claude,Zero-Shot,Robbery026_x264,Robbery
435.0,Claude,Zero-Shot,Robbery027_x264,Robbery
